1/alpha,SPSC-L4,SPSC-L8,SPSC-L16,STC-H8,STC-H10,STC-H12,bound,log2N,SPSC-L4,SPSC-L16,STC-H8,STC-H10,STC-H12
1,2,2,2,2,2,2,2,10,717.7523,351.8663,734.6356,305.1082,95.2936
2,12.066,12.0823,12.0874,10.6546,11.0867,11.3999,12.4384,11,855.25,378.7546,927.7458,346.139,94.002
3,26.9165,26.9735,26.9993,22.7676,24.0879,24.9851,27.8859,12,976.0492,401.2573,1111.8679,370.2592,95.3643
4,47.5831,47.7057,47.7687,39.4749,42.069,43.8274,49.7273,13,1028.1306,387.1669,1215.4417,372.8834,93.841
5,74.0051,74.2488,74.3636,60.6938,65.0533,67.9114,77.8557,14,1009.8054,376.5992,1288.4513,380.4138,93.3831
6,106.1757,106.5532,106.7447,86.4699,92.9864,97.0398,111.4951,15,987.2126,362.6126,1213.0245,378.2016,87.7996
7,144.028,144.6198,144.9197,116.6336,125.5271,131.6498,153.1742,16,946.1309,347.6739,1139.4075,377.744,83.8142
8,187.6194,188.3978,188.8652,151.6195,163.6178,171.3179,198.8597,17,879.9539,331.9911,1065.7534,377.7526,81.7468
9,236.905,237.9894,238.614,190.3872,205.624,215.8299,253.6023,18,776.2425,303.8282,1026.484,377.3403,89.0765
10,291.768,293.0692,293.8496,234.876,253.7675,265.4775,311.324,19,697.6912,287.0446,1103.1149,377.3878,91.262
11,352.3263,354.1539,355.0919,283.1988,306.4344,320.6933,376.0837,20,653.3278,277.4247,1131.3118,377.8282,97.7528
12,418.3031,420.6582,421.9243,336.0639,363.912,380.9068,445.8567,,,,,,
13,490.143,493.0438,494.5767,393.9952,425.9127,447.5143,528.7712,,,,,,
14,567.4877,570.581,572.8819,454.6881,493.5117,518.0056,612.6099,,,,,,
15,650.3526,654.2142,656.4698,521.2293,565.9151,593.0311,697.4093,,,,,,
16,738.7575,743.2701,746.5962,593.2413,643.3087,674.0427,795.3214,,,,,,
17,832.6797,838.1969,840.9336,669.4235,724.9015,760.4919,890.1322,,,,,,
18,932.3832,938.9626,942.8,746.3816,813.3636,851.2836,1014.3077,,,,,,
19,1037.5969,1044.4092,1048.1895,831.8984,904.8317,947.2781,1111.0415,,,,,,
20,1148.7332,1156.0057,1161.7535,921.6566,998.7922,1049.1865,1245.1909,,,,,,
